id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1,1,3,1,1,1,1,1,1,0,0,0,90
2,2,3,1,1,1,1,1,1,0,0,0,90
3,3,3,1,1,1,1,1,1,0,0,0,90
4,4,3,1,1,1,1,1,1,0,0,0,90
5,5,3,1,1,1,1,1,1,0,0,0,90
6,6,3,1,1,1,1,1,1,0,0,0,90
7,7,3,1,1,0,1,0,1,3,0,0,90
8,8,3,1,1,0,1,0,1,0,0,0,90
9,9,7,1,1,1,1,1,1,0,0,0,90
10,10,3,1,1,1,1,1,1,0,0,0,90
11,11,3,1,1,1,1,1,1,0,0,0,90
12,12,3,1,1,1,1,1,1,0,0,0,90
13,13,3,1,1,1,1,1,1,0,0,0,90
14,14,3,1,1,1,1,1,1,0,0,0,90
15,15,3,1,1,1,1,1,1,0,0,0,90
16,16,3,1,1,1,1,1,1,0,0,0,90
17,17,3,1,1,1,1,1,1,0,0,0,90
18,18,3,1,1,1,1,1,1,0,0,0,90
19,19,3,1,1,1,1,1,1,0,0,0,90
20,20,3,1,1,1,1,1,1,0,0,0,90
21,21,3,1,1,1,1,1,1,0,0,0,90
22,22,3,1,0,1,0,1,1,1,0,0,90
23,23,6,1,1,1,1,1,1,0,0,0,90
24,24,3,1,1,1,1,1,1,0,0,0,90
25,25,3,1,1,1,1,1,1,0,0,0,90
26,26,3,1,1,1,1,1,1,0,0,0,90
27,27,3,1,1,1,1,1,1,0,0,0,90
28,28,3,1,1,1,1,1,1,0,0,0,90
29,29,3,1,1,1,1,1,1,0,0,0,90
30,30,3,1,1,1,1,1,1,0,0,0,90
31,31,3,1,1,1,1,1,1,0,0,0,90
32,32,3,0,1,1,1,1,0,2,0,0,90
33,33,3,0,1,1,1,1,0,0,0,0,90
34,34,8,1,1,0,1,0,1,3,0,0,90
35,35,7,1,1,1,1,1,1,0,0,0,90
36,36,3,1,1,1,1,1,1,0,0,0,90
37,37,3,1,1,1,1,1,1,0,0,0,90
38,38,3,1,1,1,1,1,1,0,0,0,90
39,39,3,1,0,1,0,1,1,1,0,0,90
40,40,3,1,0,1,0,1,1,0,0,0,90
41,1,3,1,1,1,1,1,1,0,0,0,96
42,2,3,1,1,1,1,1,1,0,0,0,96
43,3,3,1,1,1,1,1,1,0,0,0,96
44,4,3,1,1,1,1,1,1,0,0,0,96
45,5,3,1,1,1,1,1,1,0,0,0,96
46,6,3,1,1,1,1,1,1,0,0,0,96
47,7,7,1,1,1,1,1,1,3,0,0,96
48,8,3,1,1,1,1,1,1,0,0,0,96
49,9,3,1,1,1,1,1,1,0,0,0,96
50,10,3,1,1,1,1,1,1,0,0,0,96
51,11,3,1,1,1,1,1,1,0,0,0,96
52,12,3,1,1,1,1,1,1,0,0,0,96
53,13,3,1,1,1,1,1,1,0,0,0,96
54,14,3,1,1,1,1,1,1,0,0,0,96
55,15,3,1,1,1,1,1,1,0,0,0,96
56,16,3,1,1,1,1,1,1,0,0,0,96
57,17,3,1,1,1,1,1,1,0,0,0,96
58,18,3,1,1,1,1,1,1,0,0,0,96
59,19,3,1,1,1,1,1,1,0,0,0,96
60,20,3,1,1,1,1,1,1,0,0,0,96
61,21,3,1,1,1,1,1,1,0,0,0,96
62,22,3,1,0,1,0,1,1,1,0,0,96
63,23,6,1,1,1,1,1,1,0,0,0,96
64,24,3,1,1,1,1,1,1,0,0,0,96
65,25,3,1,1,1,1,1,1,0,0,0,96
66,26,3,1,1,1,1,1,1,0,0,0,96
67,27,3,1,1,1,1,1,1,0,0,0,96
68,28,3,1,1,1,1,1,1,0,0,0,96
69,29,3,1,1,1,1,1,1,0,0,0,96
70,30,3,1,1,1,1,1,1,0,0,0,96
71,31,3,1,1,1,1,1,1,0,0,0,96
72,32,8,1,1,1,1,1,1,2,0,0,96
73,33,3,1,1,1,1,1,1,0,0,0,96
74,34,7,1,1,1,1,1,1,3,0,0,96
75,35,3,1,1,1,1,1,1,0,0,0,96
76,36,3,1,1,1,1,1,1,0,0,0,96
77,37,3,1,1,1,1,1,1,0,0,0,96
78,38,3,1,1,1,1,1,1,0,0,0,96
79,39,3,1,0,1,0,1,1,1,0,0,96
80,40,6,1,1,1,1,1,1,0,0,0,96
81,1,3,1,1,1,1,1,1,0,0,0,102
82,2,3,1,1,1,1,1,1,0,0,0,102
83,3,3,1,1,1,1,1,1,0,0,0,102
84,4,3,1,1,1,1,1,1,0,0,0,102
85,5,3,1,1,1,1,1,1,0,0,0,102
86,6,3,1,1,1,1,1,1,0,0,0,102
87,7,3,1,1,0,1,0,1,3,0,0,102
88,8,3,1,1,0,1,0,1,0,0,0,102
89,9,7,1,1,1,1,1,1,0,0,0,102
90,10,3,1,1,1,1,1,1,0,0,0,102
91,11,3,1,1,1,1,1,1,0,0,0,102
92,12,3,1,1,1,1,1,1,0,0,0,102
93,13,3,1,1,1,1,1,1,0,0,0,102
94,14,3,1,1,1,1,1,1,0,0,0,102
95,15,3,1,1,1,1,1,1,0,0,0,102
96,16,3,1,1,1,1,1,1,0,0,0,102
97,17,3,1,1,1,1,1,1,0,0,0,102
98,18,3,1,1,1,1,1,1,0,0,0,102
99,19,3,1,1,1,1,1,1,0,0,0,102
100,20,3,1,1,1,1,1,1,0,0,0,102
101,21,3,1,1,1,1,1,1,0,0,0,102
102,22,6,1,1,1,1,1,1,1,0,0,102
103,23,3,1,1,1,1,1,1,0,0,0,102
104,24,3,1,1,1,1,1,1,0,0,0,102
