id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1201,1,3,1,1,1,1,1,1,0,0,0,90
1202,2,3,1,1,1,1,1,1,0,0,0,90
1203,3,3,1,1,1,1,1,1,0,0,0,90
1204,4,3,1,1,1,1,1,1,0,0,0,90
1205,5,3,1,1,1,1,1,1,0,0,0,90
1206,6,3,1,1,1,1,1,1,0,0,0,90
1207,7,3,1,1,0,1,0,1,3,0,0,90
1208,8,3,1,1,0,1,0,1,0,0,0,90
1209,9,7,1,1,1,1,1,1,0,0,0,90
1210,10,3,1,1,1,1,1,1,0,0,0,90
1211,11,3,1,1,1,1,1,1,0,0,0,90
1212,12,3,1,1,1,1,1,1,0,0,0,90
1213,13,3,1,1,1,1,1,1,0,0,0,90
1214,14,3,1,1,1,1,1,1,0,0,0,90
1215,15,3,1,1,1,1,1,1,0,0,0,90
1216,16,3,1,1,1,1,1,1,0,0,0,90
1217,17,3,1,1,1,1,1,1,0,0,0,90
1218,18,3,1,1,1,1,1,1,0,0,0,90
1219,19,3,1,1,1,1,1,1,0,0,0,90
1220,20,3,1,1,1,1,1,1,0,0,0,90
1221,21,3,1,1,1,1,1,1,0,0,0,90
1222,22,3,1,0,1,0,1,1,1,0,0,90
1223,23,6,1,1,1,1,1,1,0,0,0,90
1224,24,3,1,1,1,1,1,1,0,0,0,90
1225,25,3,1,1,1,1,1,1,0,0,0,90
1226,26,3,1,1,1,1,1,1,0,0,0,90
1227,27,3,1,1,1,1,1,1,0,0,0,90
1228,28,3,1,1,1,1,1,1,0,0,0,90
1229,29,3,1,1,1,1,1,1,0,0,0,90
1230,30,3,1,1,1,1,1,1,0,0,0,90
1231,31,3,1,1,1,1,1,1,0,0,0,90
1232,32,3,0,1,1,1,1,0,2,0,0,90
1233,33,3,0,1,1,1,1,0,0,0,0,90
1234,34,8,1,1,0,1,0,1,3,0,0,90
1235,35,7,1,1,1,1,1,1,0,0,0,90
1236,36,3,1,1,1,1,1,1,0,0,0,90
1237,37,3,1,1,1,1,1,1,0,0,0,90
1238,38,3,1,1,1,1,1,1,0,0,0,90
1239,39,3,1,0,1,0,1,1,1,0,0,90
1240,40,3,1,0,1,0,1,1,0,0,0,90
1241,1,3,1,1,1,1,1,1,0,0,0,96
1242,2,3,1,1,1,1,1,1,0,0,0,96
1243,3,3,1,1,1,1,1,1,0,0,0,96
1244,4,3,1,1,1,1,1,1,0,0,0,96
1245,5,3,1,1,1,1,1,1,0,0,0,96
1246,6,3,1,1,1,1,1,1,0,0,0,96
1247,7,7,1,1,1,1,1,1,3,0,0,96
1248,8,3,1,1,1,1,1,1,0,0,0,96
1249,9,3,1,1,1,1,1,1,0,0,0,96
1250,10,3,1,1,1,1,1,1,0,0,0,96
1251,11,3,1,1,1,1,1,1,0,0,0,96
1252,12,3,1,1,1,1,1,1,0,0,0,96
1253,13,3,1,1,1,1,1,1,0,0,0,96
1254,14,3,1,1,1,1,1,1,0,0,0,96
1255,15,3,1,1,1,1,1,1,0,0,0,96
1256,16,3,1,1,1,1,1,1,0,0,0,96
1257,17,3,1,1,1,1,1,1,0,0,0,96
1258,18,3,1,1,1,1,1,1,0,0,0,96
1259,19,3,1,1,1,1,1,1,0,0,0,96
1260,20,3,1,1,1,1,1,1,0,0,0,96
1261,21,3,1,1,1,1,1,1,0,0,0,96
1262,22,3,1,0,1,0,1,1,1,0,0,96
1263,23,6,1,1,1,1,1,1,0,0,0,96
1264,24,3,1,1,1,1,1,1,0,0,0,96
1265,25,3,1,1,1,1,1,1,0,0,0,96
1266,26,3,1,1,1,1,1,1,0,0,0,96
1267,27,3,1,1,1,1,1,1,0,0,0,96
1268,28,3,1,1,1,1,1,1,0,0,0,96
1269,29,3,1,1,1,1,1,1,0,0,0,96
1270,30,3,1,1,1,1,1,1,0,0,0,96
1271,31,3,1,1,1,1,1,1,0,0,0,96
1272,32,8,1,1,1,1,1,1,2,0,0,96
1273,33,3,1,1,1,1,1,1,0,0,0,96
1274,34,7,1,1,1,1,1,1,3,0,0,96
1275,35,3,1,1,1,1,1,1,0,0,0,96
1276,36,3,1,1,1,1,1,1,0,0,0,96
1277,37,3,1,1,1,1,1,1,0,0,0,96
1278,38,3,1,1,1,1,1,1,0,0,0,96
1279,39,3,1,0,1,0,1,1,1,0,0,96
1280,40,6,1,1,1,1,1,1,0,0,0,96
1281,1,3,1,1,1,1,1,1,0,0,0,102
1282,2,3,1,1,1,1,1,1,0,0,0,102
1283,3,3,1,1,1,1,1,1,0,0,0,102
1284,4,3,1,1,1,1,1,1,0,0,0,102
1285,5,3,1,1,1,1,1,1,0,0,0,102
1286,6,3,1,1,1,1,1,1,0,0,0,102
1287,7,3,1,1,0,1,0,1,3,0,0,102
1288,8,3,1,1,0,1,0,1,0,0,0,102
1289,9,7,1,1,1,1,1,1,0,0,0,102
1290,10,3,1,1,1,1,1,1,0,0,0,102
1291,11,3,1,1,1,1,1,1,0,0,0,102
1292,12,3,1,1,1,1,1,1,0,0,0,102
1293,13,3,1,1,1,1,1,1,0,0,0,102
1294,14,3,1,1,1,1,1,1,0,0,0,102
1295,15,3,1,1,1,1,1,1,0,0,0,102
1296,16,3,1,1,1,1,1,1,0,0,0,102
1297,17,3,1,1,1,1,1,1,0,0,0,102
1298,18,3,1,1,1,1,1,1,0,0,0,102
1299,19,3,1,1,1,1,1,1,0,0,0,102
1300,20,3,1,1,1,1,1,1,0,0,0,102
1301,21,3,1,1,1,1,1,1,0,0,0,102
1302,22,6,1,1,1,1,1,1,1,0,0,102
1303,23,3,1,1,1,1,1,1,0,0,0,102
1304,24,3,1,1,1,1,1,1,0,0,0,102
1305,25,3,1,1,1,1,1,1,0,0,0,102
1306,26,3,1,1,1,1,1,1,0,0,0,102
1307,27,3,1,1,1,1,1,1,0,0,0,102
1308,28,3,1,1,1,1,1,1,0,0,0,102
1309,29,3,1,1,1,1,1,1,0,0,0,102
1310,30,3,1,1,1,1,1,1,0,0,0,102
1311,31,3,1,1,1,1,1,1,0,0,0,102
1312,32,8,1,1,1,1,1,1,2,0,0,102
1313,33,3,1,1,1,1,1,1,0,0,0,102
1314,34,3,1,1,0,1,0,1,3,0,0,102
1315,35,3,1,1,0,1,0,1,0,0,0,102
1316,36,7,1,1,1,1,1,1,0,0,0,102
1317,37,3,1,1,1,1,1,1,0,0,0,102
1318,38,3,1,1,1,1,1,1,0,0,0,102
1319,39,3,1,0,1,0,1,1,1,0,0,102
1320,40,3,1,0,1,0,1,1,0,0,0,102
1321,1,3,1,1,1,1,1,1,0,0,0,108
1322,2,3,1,1,1,1,1,1,0,0,0,108
1323,3,3,1,1,1,1,1,1,0,0,0,108
1324,4,3,1,1,1,1,1,1,0,0,0,108
1325,5,3,1,1,1,1,1,1,0,0,0,108
1326,6,3,1,1,1,1,1,1,0,0,0,108
1327,7,7,1,1,1,1,1,1,3,0,0,108
1328,8,3,1,1,1,1,1,1,0,0,0,108
1329,9,3,1,1,1,1,1,1,0,0,0,108
1330,10,3,1,1,1,1,1,1,0,0,0,108
1331,11,3,1,1,1,1,1,1,0,0,0,108
1332,12,3,1,1,1,1,1,1,0,0,0,108
1333,13,3,1,1,1,1,1,1,0,0,0,108
1334,14,3,1,1,1,1,1,1,0,0,0,108
1335,15,3,1,1,1,1,1,1,0,0,0,108
1336,16,3,1,1,1,1,1,1,0,0,0,108
1337,17,3,1,1,1,1,1,1,0,0,0,108
1338,18,3,1,1,1,1,1,1,0,0,0,108
1339,19,3,1,1,1,1,1,1,0,0,0,108
1340,20,3,1,1,1,1,1,1,0,0,0,108
1341,21,3,1,1,1,1,1,1,0,0,0,108
1342,22,6,1,1,1,1,1,1,1,0,0,108
1343,23,3,1,1,1,1,1,1,0,0,0,108
1344,24,3,1,1,1,1,1,1,0,0,0,108
1345,25,3,1,1,1,1,1,1,0,0,0,108
1346,26,3,1,1,1,1,1,1,0,0,0,108
1347,27,3,1,1,1,1,1,1,0,0,0,108
1348,28,3,1,1,1,1,1,1,0,0,0,108
1349,29,3,1,1,1,1,1,1,0,0,0,108
1350,30,3,1,1,1,1,1,1,0,0,0,108
1351,31,3,1,1,1,1,1,1,0,0,0,108
1352,32,8,1,1,1,1,1,1,2,0,0,108
1353,33,3,1,1,1,1,1,1,0,0,0,108
1354,34,7,1,1,1,1,1,1,3,0,0,108
1355,35,3,1,1,1,1,1,1,0,0,0,108
1356,36,3,1,1,1,1,1,1,0,0,0,108
1357,37,3,1,1,1,1,1,1,0,0,0,108
1358,38,3,1,1,1,1,1,1,0,0,0,108
1359,39,6,1,1,1,1,1,1,1,0,0,108
1360,40,3,1,1,1,1,1,1,0,0,0,108
1361,1,3,1,1,1,1,1,1,0,0,0,114
1362,2,3,1,1,1,1,1,1,0,0,0,114
1363,3,3,1,1,1,1,1,1,0,0,0,114
1364,4,3,1,1,1,1,1,1,0,0,0,114
1365,5,3,1,1,1,1,1,1,0,0,0,114
1366,6,3,1,1,1,1,1,1,0,0,0,114
1367,7,7,1,1,1,1,1,1,3,0,0,114
1368,8,3,1,1,1,1,1,1,0,0,0,114
1369,9,3,1,1,1,1,1,1,0,0,0,114
1370,10,3,1,1,1,1,1,1,0,0,0,114
1371,11,3,1,1,1,1,1,1,0,0,0,114
1372,12,3,1,1,1,1,1,1,0,0,0,114
1373,13,3,1,1,1,1,1,1,0,0,0,114
1374,14,3,1,1,1,1,1,1,0,0,0,114
1375,15,3,1,1,1,1,1,1,0,0,0,114
1376,16,3,1,1,1,1,1,1,0,0,0,114
1377,17,3,1,1,1,1,1,1,0,0,0,114
1378,18,3,1,1,1,1,1,1,0,0,0,114
1379,19,3,1,1,1,1,1,1,0,0,0,114
1380,20,3,1,1,1,1,1,1,0,0,0,114
1381,21,3,1,1,1,1,1,1,0,0,0,114
1382,22,6,1,1,1,1,1,1,1,0,0,114
1383,23,3,1,1,1,1,1,1,0,0,0,114
1384,24,3,1,1,1,1,1,1,0,0,0,114
1385,25,3,1,1,1,1,1,1,0,0,0,114
1386,26,3,1,1,1,1,1,1,0,0,0,114
